,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Invincible (2006),49.0,72%,Invincible (2006),136,PG (Sports|Some Mild Language),"Drama, Biography",English,Ericson Core,"Gordon Gray, Mark Ciardi, Ken Mok",Brad Gann,"Aug 25, 2006 wide","Dec 19, 2006",$57.8M,1h 44m,Buena Vista,"Dolby Stereo, Dolby SRD, SDDS",Scope (2.35:1),
Ultimate X: The Movie (2002),50.0,74%,Ultimate X: The Movie (2002),47,PG,Documentary,English,Bruce Hendricks,Arthur F. Repola,Bruce Hendricks,,,$4.2M,39m,,Surround,,
Gunnin' for That #1 Spot (2008),51.0,72%,Gunnin' for That #1 Spot (2008),43,PG-13 (Language),Documentary,English,Adam Yauch,"Jon Doran, Jim Kaufman, Adam Yauch",,"Jun 27, 2008 limited","Oct 21, 2008",,1h 30m,,,,
The Blind Side (2009),52.0,66%,The Blind Side (2009),206,PG-13 (Drug References|Brief Violence|Sexual References),"Drama, Biography",English,John Lee Hancock,"Gil Netter, Broderick Johnson, Andrew A. Kosove",John Lee Hancock,"Nov 20, 2009 wide","Mar 23, 2010",$256.0M,2h 8m,Warner Bros.,"SDDS, Dolby Digital, DTS",,
More Than a Game (2009),53.0,71%,More Than a Game (2009),51,PG (Incidental Smoking|Brief Mild Language),Documentary,English,Kristopher Belman,Kristopher Belman,"Kristopher Belman, Brad Hogan","Oct 2, 2009 limited","Feb 2, 2010",$944.5K,1h 45m,Lionsgate Films,,,
Secretariat (2010),54.0,64%,Secretariat (2010),158,PG (Brief Mild Language),"Drama, Biography",English,Randall Wallace,"Mark Ciardi, Gordon Gray",Mike Rich,"Oct 8, 2010 wide","Jan 25, 2011",$59.7M,2h 3m,Walt Disney,"SDDS, Dolby Digital, DTS",,
The Sandlot (1993),55.0,64%,The Sandlot (1993),59,PG,"Kids & family, Comedy, Drama",English,David M. Evans,"Dale De La Torre, William S. Gilmore","David M. Evans, Robert Gunter","Apr 1, 1993 wide","Jan 29, 2002",$31.7M,1h 41m,20th Century Fox,"Surround, Dolby Stereo",Scope (2.35:1),
Dust to Glory (2005),56.0,60%,Dust to Glory (2005),68,PG (Some Language|Racing Action|Peril),Documentary,English,Dana Brown,"Mike McCoy, Scott Waugh",,"Apr 1, 2005 wide","Aug 23, 2005",$640.0K,1h 37m,IFC Films,,,
NASCAR: The IMAX Experience (2004),57.0,61%,NASCAR: The IMAX Experience (2004),44,PG,Documentary,English,Simon Wincer,"Lorne Orleans, Doug Hylton",,"Mar 3, 2004 original","Feb 14, 2006",$20.0M,49m,"Warner Bros. Pictures, IMAX Corporation",Stereo,,
Glory Road (2006),58.0,56%,Glory Road (2006),153,PG (Mild Language|Epithets|Racial Issues|Violence),Drama,English,James Gartner,Jerry Bruckheimer,Christopher Cleveland,"Jan 13, 2006 wide","Jun 6, 2006",$42.6M,1h 57m,Buena Vista Pictures,"SDDS, DTS",,
Because of Winn-Dixie (2005),59.0,55%,Because of Winn-Dixie (2005),122,PG (Thematic Elements|Brief Mild Language),"Kids & family, Drama",English,Wayne Wang,Trevor Albert,"Kate DiCamillo, Joan V. Singleton","Feb 18, 2005 wide","Aug 9, 2005",$32.6M,1h 45m,20th Century Fox,"Dolby SRD, DTS, Surround",Flat (1.85:1),
The Perfect Game (2010),60.0,57%,The Perfect Game (2010),44,PG (Some Thematic Elements),"Kids & family, Drama",English,William Dear,"Mark W. Koch, Daniel de Liege, David Salzberg, Christian Tureaud, W. William Winokur, Michael O. Gallant",W. William Winokur,"Apr 16, 2010 limited","Aug 2, 2011",$1.1M,1h 58m,Visio Entertainment,,,
Steep (2007),61.0,54%,Steep (2007),48,PG (Extreme Sports Action|Brief Language),Documentary,English,Mark Obenhaus,"Jordan Kronick, Gabrielle Tenenbaum",Mark Obenhaus,"Dec 21, 2007 limited","Mar 18, 2008",$259.8K,1h 30m,Sony Pictures Classics,,,
First Descent (2005),62.0,52%,First Descent (2005),64,PG-13 (Brief Strong Language|Momentary Drug Reference),Documentary,English,"Kemp Curly, Kevin Harrison","Kemp Curly, Kevin Harrison",Kevin Harrison,"Dec 2, 2005 original","Feb 21, 2006",$750.8K,1h 50m,Universal Pictures,"Surround, SDDS, DTS",Scope (2.35:1),
Soul Surfer (2011),63.0,45%,Soul Surfer (2011),106,PG (Some Thematic Material|An Intense Accident Sequence),Drama,English,Sean McNamara,"David Zelon, Douglas Schwartz, Dutch Hofstetter, David Brookwell, Sean McNamara","Sean McNamara, Deborah Schwartz, Douglas Schwartz, Michael Berk","Apr 8, 2011 wide","Aug 2, 2011",$43.9M,1h 46m,Sony Pictures Entertainment,"Dolby, SDDS, DTS",,
The Replacements (2000),64.0,41%,The Replacements (2000),108,PG-13 (Sexual Humor|Language),Comedy,English,Howard Deutch,,Vince McKewin,"Aug 11, 2000 wide","Apr 2, 2002",$44.7M,1h 58m,Warner Bros. Pictures,"SDDS, Dolby Digital, DTS, Surround",Scope (2.35:1),
Beerfest (2006),65.0,41%,Beerfest (2006),108,R (Nudity|Language|Pervasive Crude Sexual Content|Substance Abuse),Comedy,English,Jay Chandrasekhar,"Bill Gerber, Richard Perello","Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske","Aug 25, 2006 wide","Dec 5, 2006",$19.2M,1h 50m,Warner Bros.,,,
Goal! The Dream Begins (Goal!: The Impossible Dream) (2005),66.0,42%,Goal! The Dream Begins (Goal!: The Impossible Dream) (2005),83,PG (Partying|Language|Sexual Situations|Some Thematic Material),Drama,English,Danny Cannon,"Mike Jefferies, Matt Barrelle","Mike Jefferies, Adrian Butchart","May 12, 2006 wide","Sep 12, 2006",$4.3M,2h 1m,Buena Vista,Dolby Digital,,
Grudge Match (2013),67.0,31%,Grudge Match (2013),144,PG-13 (Sexual Content|Language|Sports Action Violence),Comedy,English,Peter Segal,"Bill Gerber, Mark Steven Johnson, Michael Ewing, Peter Segal, Ravi Mehta","Tim Kelleher, Rodney Rothman","Dec 25, 2013 wide","Mar 18, 2014",$29.8M,1h 53m,Warner Bros. Pictures,"Datasat, Dolby Digital",,
Jiminy Glick in Lalawood (2005),68.0,22%,Jiminy Glick in Lalawood (2005),45,R (Language|Crude Sexual Content),Comedy,English,Vadim Jean,,Martin Short,"May 6, 2005 original","Oct 4, 2005",$25.7K,1h 30m,Metro-Goldwyn-Mayer Distributing Corp.,,,
Playing for Keeps (2012),69.0,4%,Playing for Keeps (2012),91,PG-13 (Language|A Brief Intense Image|Some Sexual Situations),"Comedy, Romance",English,Gabriele Muccino,"Jonathan Mostow, Kevin Misher, Gerard Butler, Alan Siegel, Heidi Jo Markel, John Thompson",Robbie Fox,"Dec 7, 2012 wide","Mar 5, 2013",$13.1M,1h 45m,FilmDistrict,Dolby Digital,,
